################################################################################
IN SEQ: 	 b'cops in republican senate office violently assault disabled protesters ; reports of serious injuries'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.07547517, -0.051238894, 0.036245152, 0.18341452, 0.2444819, 0.17475532, -0.050664306, -0.16906671, -0.08545417, 0.039376676, 0.0058976486, -0.14776602]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump just took another brutal shot at mcconnell as go ##p civil war heats up ( t ##wee ##ts )'
GOLD SEQ: 	 b'trump just took another brutal shot at mcconnell as go ##p civil war heats up ( t ##wee ##ts )'
PRED SEQ:	 b'trump just took another shot at mcconnell as go ##p civil war heats up ( t ##wee ##ts )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.12911579, -0.12988912, 0.047621727, 0.068492204, -0.03473614, -0.020929873, -0.30858207, -0.23007089, -0.04899519, -0.15425074, -0.04861083, -0.029738791, 0.46637854, 0.016095683, 0.13440311, -0.19500506, 0.033475444, -0.26806986, -0.12451258, 0.420493]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : sessions plot to steal cash from american citizens revealed'
GOLD SEQ: 	 b'breaking : sessions plot to steal cash from american citizens revealed'
PRED SEQ:	 b'breaking : sessions plot to steal cash from american citizens revealed'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.14312378, 0.09908019, 0.06677321, 0.10009754, 0.10383475, 0.032785296, 0.03254515, -7.686764e-05, 0.10574339, 0.008446991, 0.029939763]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'just in : clay ai ##ken comes forward , expose ##s trump ##s dirty little apprentice lie'
GOLD SEQ: 	 b'just in : clay ai ##ken comes forward , expose ##s trump ##s dirty little apprentice lie'
PRED SEQ:	 b'just in : clay ai ##ken comes forward , pu ##ing trump ##s dirty little apprentice lie'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.16001897, 0.4026158, 0.0049965344, 0.027524546, -0.16053742, 0.18950075, -0.021392569, 0.08961348, -0.017168373, 0.083848014, 0.07149665, -0.07614671, 0.051220387, 0.15719849, 0.06060706, 0.18177469, 0.10742612]
GOLD TOK: 	 []
PRED TOK: 	 [['pu', '##ing']]
################################################################################
IN SEQ: 	 b'sports illustrated trolls trump over fake time cover and the reactions are glorious ( t ##wee ##ts )'
GOLD SEQ: 	 b'sports illustrated trolls trump over fake time cover and the reactions are glorious ( t ##wee ##ts )'
PRED SEQ:	 b'sports illustrated trolls trump over fake time cover and the reactions are glorious ( t ##wee ##ts )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.1319302, 0.4693533, 0.2386044, 0.088281184, 0.1609512, 0.12794477, 0.5328684, 0.3379818, 0.17339581, 0.5219644, 0.32837677, 0.26002684, 0.29216594, -0.01879274, 0.17001662, 0.07530445, -0.017844975, 0.053372603]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do most christians even read the the bible ? atheist ##s have !'
GOLD SEQ: 	 b'do most christians even read the the bible ? atheist ##s have !'
PRED SEQ:	 b'do most christians read the the bible ? atheist ##s have !'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.11903935, 0.093075395, 0.2053744, 0.1714626, 0.30112207, 0.37967965, 0.29295903, 0.28599685, 0.18391691, 0.07094228, 0.056700032, 0.1975388, 0.22313234]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump ##s nothing more than a wanna ##be dictator who acts like a crime boss'
GOLD SEQ: 	 b'trump ##s nothing more than a wanna ##be dictator who acts like a crime boss'
PRED SEQ:	 b'trump ##s nothing more than a wanna ##be dictator who acts like a crime boss'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.19034173, -0.2480908, 0.15848145, 0.50150853, 0.47052848, 0.46597612, 0.014109828, 0.24735788, 0.22989616, 0.2598109, 0.2863536, 0.24128856, 0.30816466, 0.20791507, 0.29492134]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'white house staff massage ##s trump ##s ego by flashing him flat ##tering pictures of himself : report'
GOLD SEQ: 	 b'white house staff massage ##s trump ##s ego by flashing him flat ##tering pictures of himself : report'
PRED SEQ:	 b'white house staff massage ##s trump ##s ego by flashing him pictures of himself :'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.13594717, -0.12530665, -0.07692543, -0.12282914, 0.01031287, -0.1247617, -0.24573466, -0.14739144, 0.08397475, 0.070587456, -0.1193974, 0.235762, 0.11412816, 0.27764896, 0.14117166, -0.0718642, -0.14407215, -0.15156367]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'fox and friends lies about new york times calling them the most powerful tv show in america'
GOLD SEQ: 	 b'fox and friends lies about new york times calling them the most powerful tv show in america'
PRED SEQ:	 b'fox and friends claims about new york times calling them the most powerful tv show in america'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.1219386, 0.013515145, 0.091861725, -0.04539728, -0.060015433, -0.023537412, -0.099243164, 0.17727117, 0.07499392, -0.2661205, 0.20950434, -0.06579198, -0.24433975, -0.35753405, -0.22844824, 0.23767994, 0.09572056]
GOLD TOK: 	 []
PRED TOK: 	 [['claims']]
################################################################################
IN SEQ: 	 b'watch : eric trump ##s sick comment proves hell say anything to defend daddy'
GOLD SEQ: 	 b'watch : eric trump ##s sick comment proves hell say anything to defend daddy'
PRED SEQ:	 b'watch : eric trump ##s comment proves with hell say anything to defend daddy'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.14677535, -0.25976303, -0.18365559, -0.211231, -0.011057265, 0.011021467, -0.039324857, -0.011510074, -0.05994337, 0.099146254, -0.07108895, 0.07798315, 0.07224792, -0.11101818]
GOLD TOK: 	 []
PRED TOK: 	 [['with']]
################################################################################
IN SEQ: 	 b'breaking : madeline al ##bright comes forward with shocking message for trump'
GOLD SEQ: 	 b'breaking : madeline al ##bright comes forward with shocking message for trump'
PRED SEQ:	 b'breaking : madeline al ##bright comes forward with a message for trump'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.3554384, -0.30482283, -0.10273673, -0.10970399, -0.24361688, -0.18067732, -0.11735492, -0.04528384, -0.2986465, -0.13130948, -0.19368654, -0.38080472]
GOLD TOK: 	 []
PRED TOK: 	 [['a']]
################################################################################
IN SEQ: 	 b'w . h . arrogance leaves trump on german streets glorious irony en ##su ##es ( video )'
GOLD SEQ: 	 b'w . h . arrogance leaves trump on german streets glorious irony en ##su ##es ( video )'
PRED SEQ:	 b'w . h . arrogance leaves trump on german streets irony en ##su ##es ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.13438639, -0.11124781, -0.4874584, -0.13422117, 0.04085967, 0.10622053, -0.024345398, 0.09692244, 0.1867182, 0.1881832, 0.3530095, 0.4151635, 0.43469566, 0.27919593, 0.29736888, 0.29618424, 0.5281068, 0.23505571]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'chris christie takes his family to closed beach ; gives voters giant trump style f * ck you'
GOLD SEQ: 	 b'chris christie takes his family to closed beach ; gives voters giant trump style f * ck you'
PRED SEQ:	 b'chris christie takes his family to closed beach ; gives voters giant trump style f * ck you'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.049969103, -0.045337163, 0.025322631, 0.043635003, 0.11534661, 0.15334503, 0.13579082, -0.11209579, -0.11239903, -0.03961715, -0.080622636, 0.14783683, 0.0015243217, 0.1713866, 0.16853344, -0.3638217, -0.07776256, -0.07804869]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'the 11 - minute mind ##fulness technique that helps you drink less'
GOLD SEQ: 	 b'the 11 - minute mind ##fulness technique that helps you drink less'
PRED SEQ:	 b'the 11 - minute mind ##fulness technique that helps to you drink less'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.025082886, -0.06504926, 0.22618476, 0.33170632, 0.38277596, 0.11455503, 0.041609287, 0.09466962, 0.19336173, -0.1297194, 0.097636364, 0.0033221394]
GOLD TOK: 	 []
PRED TOK: 	 [['to']]
################################################################################
IN SEQ: 	 b'how to make your brain become mentally stronger'
GOLD SEQ: 	 b'how to make your brain become mentally stronger'
PRED SEQ:	 b'how to make the your brain become mentally stronger'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.20837955, 0.14403251, 0.033718906, -0.17818658, 0.08845653, 0.046709165, 0.008382253, 0.15019453]
GOLD TOK: 	 []
PRED TOK: 	 [['the']]
################################################################################
IN SEQ: 	 b'one of trump ##s favorite fox news analysts crush ##es defense of sons russia meeting ( video )'
GOLD SEQ: 	 b'one of trump ##s favorite fox news analysts crush ##es defense of sons russia meeting ( video )'
PRED SEQ:	 b'one of trump ##s favorite fox news analysts ##s defense of sons russia meeting ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3817079, 0.3895638, 0.15338624, 0.15854047, 0.29787946, -0.032705247, -0.005808398, 0.28448254, 0.334347, 0.29090813, 0.3413252, 0.28913307, 0.23277213, 0.23479587, 0.29067883, 0.32054228, 0.6276697, 0.55649394]
GOLD TOK: 	 []
PRED TOK: 	 [['##s']]
################################################################################
IN SEQ: 	 b'house republicans just moved to end the federal agency that secure ##s fair elections'
GOLD SEQ: 	 b'house republicans just moved to end the federal agency that secure ##s fair elections'
PRED SEQ:	 b'house republicans moved to end the federal agency that secure ##s fair elections'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.30639517, 0.4316004, 0.15364417, 0.35544366, 0.0859564, 0.075885236, 0.3048172, 0.11247687, -0.08046205, -0.05867193, 0.0034096986, 0.085099906, 0.2908638, 0.21327646]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'disabled lgbt man attacked in chelsea neighborhood of new york by suspect shouting homo ##phobic sl ##urs'
GOLD SEQ: 	 b'disabled lgbt man attacked in chelsea neighborhood of new york by suspect shouting homo ##phobic sl ##urs'
PRED SEQ:	 b'disabled lgbt man attacked in chelsea neighborhood of new york by suspect shouting homo ##phobic sl ##urs'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.037811756, -0.013617963, 0.35137606, 0.13524693, 0.35223708, 0.13503593, 0.1962238, 0.15902853, 0.16220325, -0.012959667, 0.19900043, 0.31571934, 0.084406085, 0.27631545, 0.54121214, 0.29331064, 0.19256422]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : trump met with putin in secret meeting ; what the hell is going on ? ( video )'
GOLD SEQ: 	 b'breaking : trump met with putin in secret meeting ; what the hell is going on ? ( video )'
PRED SEQ:	 b'breaking : trump met with putin in secret meeting ; what the hell is going on ? ( video )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12927574, 0.069497466, -0.10532788, 0.21091004, 0.11411919, 0.0693754, 0.14753418, 0.15059412, 0.17213134, 0.03152199, 0.20618513, 0.26057595, 0.20953469, 0.33319098, 0.2100531, 0.21909577, 0.13948181, 0.37900668, 0.5705768, 0.24024996]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : jared ku ##sh ##ners secret cash cow exposed this is a massive ethics violation .'
GOLD SEQ: 	 b'breaking : jared ku ##sh ##ners secret cash cow exposed this is a massive ethics violation .'
PRED SEQ:	 b'breaking : jared ku ##sh ##ners secret cash cow exposed this is a ethics violation .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.16339737, -0.13105738, -0.040204093, 0.11469655, -0.2652009, -0.024456695, -0.055090457, -0.017543256, -0.1467507, -0.026417255, -0.08297696, 0.025242247, 0.21724907, 0.04952228, -0.10082552, 0.10719213, -0.13301525]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'trump t ##wee ##ts video of himself beating up cnn wwe style ; seriously , he just did'
GOLD SEQ: 	 b'trump t ##wee ##ts video of himself beating up cnn wwe style ; seriously , he just did'
PRED SEQ:	 b'trump t ##wee ##ts video of himself beating up cnn wwe style ; seriously , he just did did'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.11554862, -0.23599774, -0.33743995, -0.24486555, -0.15133575, 0.017303944, -0.075533524, -0.118407674, 0.013217956, -0.13833472, -0.11977714, -0.0330258, -0.0952337, -0.07583511, -0.061455384, -0.08131709, -0.0954323, -0.17818284]
GOLD TOK: 	 []
PRED TOK: 	 [['did']]
################################################################################
IN SEQ: 	 b'trump throws colossal tan ##trum after america finds out about secret meeting with putin ( t ##wee ##ts )'
GOLD SEQ: 	 b'trump throws colossal tan ##trum after america finds out about secret meeting with putin ( t ##wee ##ts )'
PRED SEQ:	 b'trump throws tan ##trum after america finds out about secret meeting with putin ( t ##wee ##ts )'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.09988856, 0.13620779, 0.2869101, 0.09861262, 0.1440597, 0.18354277, 0.17571369, 0.08793982, 0.122957915, 0.18130967, 0.16300161, 0.1119893, 0.21841869, 0.0982238, -0.025058538, 0.03732177, -0.17733929, -0.1495659, -0.023460157]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'chelsea clinton hum ##ilia ##tes trump for attacking her to excuse his ne ##pot ##ism at g - 20'
GOLD SEQ: 	 b'chelsea clinton hum ##ilia ##tes trump for attacking her to excuse his ne ##pot ##ism at g - 20'
PRED SEQ:	 b'chelsea clinton rejected trump for attacking her to excuse his ne ##pot ##ism at g - 20'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.07279309, 0.045628995, 0.036745608, 0.07897, 0.13974021, -0.013110027, 0.07566413, -0.0961483, 0.0139561, 0.222985, 0.08228136, 0.12783709, 0.40412575, 0.19914007, 0.292889, 0.09869107, 0.36377633, 0.393578, 0.19128487]
GOLD TOK: 	 []
PRED TOK: 	 [['rejected']]
################################################################################
IN SEQ: 	 b'watch : toby keith and willie nelson team up in new ode to wa ##cky to ##ba ##cc ##y'
GOLD SEQ: 	 b'watch : toby keith and willie nelson team up in new ode to wa ##cky to ##ba ##cc ##y'
PRED SEQ:	 b'watch : toby keith and willie nelson team up in new ode to to ##ba ##cc ##y'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.16022104, 0.08590501, 0.1669843, 0.25714022, 0.12948528, 0.35179925, 0.42291898, 0.19785699, 0.436839, 0.3627125, 0.32180363, 0.30052313, 0.3698783, 0.3566996, 0.24296436, 0.15096301, 0.29091793, 0.2989102, 0.30086115]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'two new studies differ over effects of marijuana on drivers'
GOLD SEQ: 	 b'two new studies differ over effects of marijuana on drivers'
PRED SEQ:	 b'two new studies differ over effects of marijuana on drivers'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.15656585, 0.22326483, 0.09242612, 0.31945676, 0.32087702, 0.34381637, 0.27797514, 0.26830596, 0.25078163, 0.13588785]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'breaking : trump issues sick threat to low - income americans'
GOLD SEQ: 	 b'breaking : trump issues sick threat to low - income americans'
PRED SEQ:	 b'breaking : trump issues threat to low - income americans'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.15629697, -0.19321492, -0.38289, -0.03680258, 0.16561955, 0.09042666, 0.021670915, 0.33215344, 0.44515032, 0.19827813, 0.17996462]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'camera ##man forced to del ##ete jared ku ##sh ##ner pic ##s as journalists barred from photograph ##ing him in israel'
GOLD SEQ: 	 b'camera ##man forced to del ##ete jared ku ##sh ##ner pic ##s as journalists barred from photograph ##ing him in israel'
PRED SEQ:	 b'camera ##man forced to del ##ete jared ku ##sh ##ner pic ##s as journalists barred from photograph ##ing him in israel'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
